float_id,latitude,longitude,date,temperature_celsius,salinity_psu,depth_meters
IND-CHN-01,13.18,80.35,2023-01-12,27.4,34.8,5
IND-CHN-01,13.18,80.35,2023-03-15,29.1,34.6,5
IND-CHN-01,13.18,80.35,2023-06-20,30.2,34.2,5
IND-CHN-01,13.18,80.35,2023-09-08,28.7,34.5,5
IND-CHN-02,12.86,80.18,2023-02-05,27.9,35.0,10
IND-CHN-02,12.86,80.18,2023-05-18,29.8,34.4,10
IND-CHN-02,12.86,80.18,2023-08-22,29.3,34.1,10
IND-CHN-02,12.86,80.18,2024-01-10,27.1,34.9,10
IND-MUM-01,18.92,72.80,2023-01-28,25.8,35.4,8
IND-MUM-01,18.92,72.80,2023-04-13,28.2,35.1,8
IND-MUM-01,18.92,72.80,2023-07-19,27.4,34.7,8
IND-MUM-01,18.92,72.80,2024-02-09,26.1,35.3,8
SGP-01,1.30,103.70,2023-02-12,29.8,32.4,6
SGP-01,1.30,103.70,2023-06-17,30.5,32.1,6
SGP-01,1.30,103.70,2023-10-04,29.7,32.7,6
AUS-SYD-01,-33.82,151.28,2023-03-06,22.3,35.5,12
AUS-SYD-01,-33.82,151.28,2023-07-14,18.9,35.7,12
AUS-SYD-01,-33.82,151.28,2023-11-21,21.4,35.6,12
